FMID,Credit,WIC,WICcash,SFMNP,SNAP
1017946,Y,,,,
1018556,Y,Y,,Y,Y
1011349,Y,Y,,,Y
1008611,Y,,,,Y
1003004,Y,Y,Y,Y,Y
1005878,Y,Y,Y,Y,
1001610,,,,,
1003867,,,,,
1006853,Y,,,,
1006305,Y,,,,
1008568,Y,,,,
1011201,Y,,,,
1018821,Y,,,,
1005068,,,,,
1004664,,,,,
1001519,Y,Y,,Y,Y
1002700,Y,,,Y,Y
1011212,Y,Y,,,Y
1000781,,Y,,,
1007207,,,,,
1011242,Y,,,,
1019146,Y,,,,
1008382,Y,,,,Y
1009462,Y,,,,
1018756,Y,,,,Y
1004823,,,,,
1003816,,,,,
1005440,Y,Y,,,Y
1003717,,,,,
1005483,Y,Y,Y,Y,Y
1003513,,,,,
1000541,,,,,
1007649,,,,,
1007650,,,,,
1007502,,,,,
1012058,Y,,,,
1004480,,,,,
1007474,,,,,
1000309,Y,Y,,Y,Y
1008017,Y,,,,
1010604,Y,,,,
1002198,,,,,
1010335,,,,,
1005301,Y,Y,,Y,Y
1005321,Y,Y,,Y,Y
1001493,,,,,
1018892,Y,,Y,Y,Y
1019467,Y,Y,Y,Y,Y
1006306,Y,,,,
1010385,Y,Y,,Y,Y
1009948,Y,Y,,,Y
1019257,Y,,,,Y
1000821,,,,,
1007603,,,,,
1018260,Y,Y,Y,Y,Y
1018661,Y,,,Y,
1006039,,,,,
1000095,Y,Y,Y,Y,Y
1012744,Y,Y,Y,Y,Y
1006203,,,,,
1005367,Y,Y,Y,Y,Y
1000787,Y,Y,,Y,Y
1001097,Y,Y,Y,Y,Y
1003988,Y,,,,
1007361,Y,Y,Y,Y,
1006915,,,,,
1012726,Y,,,,
1002166,Y,,,Y,
1005482,Y,,,,
1019527,Y,Y,Y,Y,Y
1018280,Y,Y,Y,Y,Y
1012257,Y,Y,Y,Y,Y
1005212,,,,,
1012091,Y,Y,,Y,Y
1000100,Y,Y,Y,Y,Y
1000775,,,,,
1007767,,,,,
1001371,,,,,
1002427,Y,,,,Y
1006584,,Y,,Y,Y
1008379,Y,,,,
1018891,Y,,,Y,Y
1001086,Y,Y,Y,Y,Y
1005909,Y,,,,
1012171,Y,Y,Y,Y,Y
1017989,Y,Y,,,Y
1001751,,,,,
1005744,,,,,
1009737,,,,,Y
1009736,,,,,Y
1018135,Y,Y,Y,Y,Y
1019468,Y,Y,Y,Y,Y
1017938,Y,Y,,,Y
1009721,Y,,,Y,
1004188,,,,,
1004405,,,,,
1001326,,,,,
1001910,Y,,,Y,Y
1008036,,Y,,,
1006168,Y,Y,,,Y
1008924,Y,Y,Y,Y,Y
1008922,Y,Y,,Y,Y
1006966,,,,,
1009204,Y,,,,
1017968,Y,Y,,Y,
1000211,,,,,
1000161,,,,,
1007142,,,,,
1016892,Y,Y,Y,,Y
1006260,,,Y,Y,
1008607,Y,,,,Y
1007369,Y,,,,
1012625,Y,Y,,,
1008485,Y,Y,,Y,Y
1011923,Y,,,,
1006164,,,,,
1008472,Y,,,,
1011832,Y,,,,
1009437,Y,,,,
1001707,Y,Y,Y,Y,Y
1003921,,,,,
1009376,Y,,,,
1019218,Y,,,,
1008953,Y,Y,Y,,Y
1005010,,,,,
1000170,,,,,
1006844,,,,,
1006166,,,,,
1006993,,,,,
1002305,Y,,,,
1001368,,,,,
1010621,Y,,,,
1000843,Y,Y,,Y,Y
1001541,Y,Y,Y,,
1019492,Y,,,,
1018514,Y,,,,Y
1000503,,Y,,Y,
